Dimension,Algorithm,MeanRank,RankSD,BestCount,WorstCount
10,DE,1.1896551724137931,0.3876161831228402,24,0
10,PSO,2.603448275862069,0.9578557744927281,3,0
10,CREO-DE,2.8620689655172415,1.0929690209645366,3,2
10,GA,3.6551724137931036,0.8567322497625798,0,5
10,GWO,4.689655172413793,0.603764871207686,0,22
30,DE,1.3793103448275863,0.6768515929047771,20,0
30,PSO,1.8620689655172413,0.7894002212817057,9,0
30,GA,3.4827586206896552,0.7377906040127227,0,4
30,CREO-DE,3.5172413793103448,0.7377906040127228,0,1
30,GWO,4.758620689655173,0.6355634403421166,0,24
