Function,Dimension,GA,PSO,DE,GWO,CREO-Repair,CREO-RG,CREO-DE
F1,10,120299354.8209004,754.456547255276,100.0,657082577.2344257,3513.931439363296,141041843.81219736,1566420.1166581388
F3,10,836.1730389490273,300.0,300.0,4832.868857111961,2427.6805547809545,3362.3196816008794,300.0020432284824
F4,10,414.86564775778805,400.8862169894453,400.0,459.4754922359225,428.83049216780375,461.5697049700233,401.9991890932969
F5,10,532.086004232177,526.9975270737527,511.469290795188,540.6486141829541,551.1491341300184,551.8049244049848,533.6744437324527
F6,10,608.9238252670588,601.0078893321956,600.0000000055649,609.3775141093658,635.7380661859485,635.7860175464124,601.9177565082435
F7,10,756.1266349772734,721.3300293022271,732.371741116288,751.3147377977699,753.3186320690878,744.5738163781095,744.2150502175797
F8,10,828.1270168725204,816.9474405144351,816.7320392765957,826.3818984486819,823.780789407569,820.6961003221079,834.1411444610262
F9,10,935.4660177622596,900.1390580165104,900.0,933.6552097174098,1301.9012099920626,1153.8878813380893,900.0001758371153
F10,10,1919.1841555116991,1663.2100554970225,1698.8803651739488,2167.2530346980425,2266.2380709449108,2367.295213188205,2173.322557292898
F11,10,1145.769141373342,1118.6588123016218,1101.0281243590207,1189.3487506066017,1154.3275647299852,1168.9526704813024,1121.5182501447111
F12,10,2966951.4119051504,10808.132824670243,1206.018256268315,2116991.5870764274,45757.78387847458,205953.2883995789,104189.02313866476
F13,10,12833.87959746652,9430.451528924686,1300.928630563518,8615.479466227176,11058.35648475005,9209.07744073371,4087.3481716016513
F14,10,1494.4408678480338,1451.6865593277116,1400.928629025721,3417.4890523763856,3015.2325866254137,3989.049207598173,1615.0394128363284
F15,10,1869.9593991049196,1554.7548155829404,1500.4708881172396,7985.173469159578,10333.186071961816,14232.219138878923,2193.770138588647
F16,10,1672.2629477229389,1875.126847795716,1616.02874683168,1899.1026408619173,2000.052226447199,2020.8236148082503,1649.8472539491372
F17,10,1757.9192166216235,1757.1558365037838,1701.6502143833293,1774.21783271719,1796.1997562241131,1804.883894930589,1758.660281564151
F18,10,22663.373690104017,4503.446723707015,1800.2152391757963,10028.716175342426,7522.166958786373,6109.026563320286,9312.51283632059
F19,10,2112.1133299050584,1982.1422638486772,1900.0180484300704,18276.346996524386,3605.7292597175706,4292.929135225287,2024.3305424829357
F20,10,2066.893796764419,2093.194091682053,2000.4025454691223,2161.5377067389823,2219.330882450813,2195.913111277698,2076.176348913194
F21,10,2310.095688020731,2304.894927126722,2253.2678146324997,2330.227661760205,2313.183154130352,2329.066404983292,2241.931030334263
F22,10,2323.579383769886,2301.8390715171995,2301.4579829756944,2336.399530944625,2591.997073171161,2647.98765635923,2292.389129922686
F23,10,2642.9313205432645,2646.114586677219,2608.2155273793805,2670.568027038613,2754.126245830176,2780.855430845362,2646.278382788106
F24,10,2689.3684711649385,2678.535949101029,2552.304445060125,2764.5253029741007,2777.0040180230253,2752.2692543537974,2696.0970924015287
F25,10,2929.3238232455265,2927.047110211419,2902.369000843328,2935.525197923763,2952.795719780602,2939.937879742454,2900.806982926006
F26,10,2961.975338012014,2939.389178289203,2900.0,3048.170024000553,3582.3509997132514,3509.0039091275635,2903.178173603489
F27,10,3124.966757115799,3151.267796986213,3096.193743671763,3171.7736585365915,3257.539531022396,3266.896689296126,3116.2733296090573
F28,10,3155.827050009065,3181.4835961663484,3100.0,3394.92307909652,3418.8883310914107,3456.916267957276,3105.716719539625
F29,10,3206.279433361125,3215.7103614472358,3135.923075904344,3260.9514133973507,3332.1563402871416,3397.727471511784,3189.978647555184
F30,10,219122.4895198517,355357.9345687636,3647.995565787913,1199441.5642275205,2145889.403450379,4384565.917872942,17915.581357348197
F1,30,2768597269.4969497,2654.622054600979,100.00000314274844,13219681941.79293,51696.58998077039,45024.58480329012,1223506372.155757
F3,30,22416.048207975648,300.0000000000012,1072.0756979062396,76083.03451882163,2657.188887556841,9892.857465870453,50134.46617517084
F4,30,1031.6347733073565,454.3276282788557,415.1690759100183,2652.204340821768,540.7001830861642,609.4598430584712,1149.8731872489095
F5,30,732.8974635577011,644.1854726520008,654.6233066881994,791.1712739195062,695.0388157304532,712.974708388347,745.1913556434555
F6,30,632.7809518191592,630.0183741012173,600.0002010655468,656.7453460363984,656.2021894155263,655.7373734079301,631.7527515880779
F7,30,1053.8358207290985,831.4043454482414,912.1748321456672,1023.449673827026,1181.7616704249274,1108.4420213253952,1004.3313030586808
F8,30,1020.4677071217396,934.0533926395934,953.3221418480204,1022.748681743622,956.3644789725488,947.5708293596524,1039.3431841577062
F9,30,2388.1297258810987,2978.406006429645,900.1090745201996,4011.733469979215,4792.953106233264,4596.933628331809,2089.949239190476
F10,30,8012.226964780931,4596.730843804745,7928.520678166154,6185.936423255906,5537.688972880668,5615.084465028192,7861.127075450113
F11,30,1853.2216884592451,1226.2032197442352,1138.5246453390205,4685.937398438125,1226.7109129287965,1240.9625886248143,2032.378988107054
F12,30,359272031.98507977,17014.19869972224,18557.445751758027,1443666800.271415,716946.7897301863,2803718.0749783143,611595893.3677691
F13,30,114320161.81008989,11281.667440357094,1403.0445876596018,701258420.6962318,46973.52242923287,46124.48840472417,160248299.12590933
F14,30,70033.49260763665,4716.137876999133,1465.5911514312882,898550.5572934614,2987.120294767991,2994.9603334485723,62993.00506160664
F15,30,14678476.766646948,3720.4997887829554,1526.5079264324895,4230354.180964623,31789.287867097628,23690.85043094836,2825049.8739243285
F16,30,3479.7637253698617,2621.626189222116,2646.2756248248525,3975.4140613594514,3091.8092615717374,3183.623004736108,3540.2824661441305
F17,30,2242.113431474368,2239.832799890386,1802.910478435416,2649.904754964344,2676.4766735008743,2768.3583956289867,2377.8743639850604
F18,30,1319458.3385897886,65369.11431807453,10779.440479768966,2606293.046304705,71972.57615810749,73472.1030051672,567619.144452807
