Dimension,Algorithm,MeanRank,RankSD,BestCount,WorstCount
10,DE,1.1896551724137931,0.3876161831228402,24,0
10,PSO,2.6379310344827585,1.0255360246871068,3,0
10,CREO-DE,3.0689655172413794,1.360961699963843,3,1
10,GA,4.0344827586206895,1.4755812080254453,0,4
10,GWO,5.379310344827586,0.9788401702105067,0,5
10,CREO-Repair,5.620689655172414,1.0827805840074194,0,5
10,CREO-RG,6.068965517241379,1.222732142223151,0,14
30,DE,1.4827586206896552,1.0219270890672474,20,0
30,PSO,1.9310344827586208,0.8836221915162052,9,0
30,CREO-Repair,4.310344827586207,1.6712580435934667,0,4
30,CREO-RG,4.689655172413793,1.4905283884741312,0,5
30,GA,4.689655172413793,1.3121260903005056,0,3
30,CREO-DE,4.758620689655173,1.379833644574413,0,1
30,GWO,6.137931034482759,1.059788992846975,0,16
