Function,Dimension,Algorithm,Mean Rank
F1,30,DE,1.0
F1,30,PSO,2.0
F1,30,CREO-RG,3.1333333333333333
F1,30,CREO-Repair,3.8666666666666667
F1,30,CREO-DE,5.0
F1,30,GA,6.0
F1,30,GWO,7.0
F3,30,PSO,1.0
F3,30,DE,2.4
F3,30,CREO-Repair,2.7333333333333334
F3,30,CREO-RG,3.933333333333333
F3,30,GA,4.933333333333334
F3,30,CREO-DE,6.0
F3,30,GWO,7.0
F4,30,DE,1.2333333333333334
F4,30,PSO,2.0
F4,30,CREO-Repair,2.933333333333333
F4,30,CREO-RG,3.8333333333333335
F4,30,GA,5.333333333333333
F4,30,CREO-DE,5.666666666666667
F4,30,GWO,7.0
F5,30,PSO,1.7
F5,30,DE,2.066666666666667
F5,30,CREO-Repair,3.033333333333333
F5,30,CREO-RG,3.8
F5,30,GA,4.933333333333334
F5,30,CREO-DE,5.466666666666667
F5,30,GWO,7.0
F6,30,DE,1.0
F6,30,PSO,2.8666666666666667
F6,30,CREO-DE,3.033333333333333
F6,30,GA,3.1
F6,30,CREO-Repair,5.966666666666667
F6,30,CREO-RG,5.966666666666667
F6,30,GWO,6.066666666666666
F7,30,PSO,1.0666666666666667
F7,30,DE,1.9333333333333333
F7,30,CREO-DE,3.3
F7,30,GWO,4.1
F7,30,GA,5.1
F7,30,CREO-RG,5.733333333333333
F7,30,CREO-Repair,6.766666666666667
F8,30,PSO,1.8666666666666667
F8,30,CREO-RG,2.4
F8,30,CREO-Repair,2.8666666666666667
F8,30,DE,3.1
F8,30,GA,5.433333333333334
F8,30,GWO,5.766666666666667
F8,30,CREO-DE,6.566666666666666
F9,30,DE,1.0
F9,30,CREO-DE,2.566666666666667
F9,30,GA,3.1
F9,30,PSO,3.9
F9,30,GWO,5.266666666666667
F9,30,CREO-RG,5.866666666666666
F9,30,CREO-Repair,6.3
F10,30,PSO,1.2333333333333334
F10,30,CREO-Repair,2.466666666666667
F10,30,CREO-RG,2.966666666666667
F10,30,GWO,3.7333333333333334
F10,30,CREO-DE,5.733333333333333
F10,30,DE,5.866666666666666
F10,30,GA,6.0
F11,30,DE,1.2333333333333334
F11,30,CREO-Repair,2.7
F11,30,PSO,2.7666666666666666
F11,30,CREO-RG,3.3
F11,30,GA,5.166666666666667
F11,30,CREO-DE,5.833333333333333
F11,30,GWO,7.0
F12,30,DE,1.4666666666666666
F12,30,PSO,1.5333333333333334
F12,30,CREO-Repair,3.2333333333333334
F12,30,CREO-RG,3.7666666666666666
F12,30,GA,5.133333333333334
F12,30,CREO-DE,5.866666666666666
F12,30,GWO,7.0
F13,30,DE,1.0
F13,30,PSO,2.0
F13,30,CREO-Repair,3.433333333333333
F13,30,CREO-RG,3.566666666666667
F13,30,GA,5.366666666666666
F13,30,CREO-DE,5.633333333333334
F13,30,GWO,7.0
F14,30,DE,1.0
F14,30,CREO-RG,2.7
F14,30,CREO-Repair,2.8666666666666667
F14,30,PSO,3.433333333333333
F14,30,CREO-DE,5.366666666666666
F14,30,GA,5.633333333333334
F14,30,GWO,7.0
F15,30,DE,1.0
F15,30,PSO,2.0
F15,30,CREO-RG,3.3
F15,30,CREO-Repair,3.7
F15,30,CREO-DE,5.233333333333333
F15,30,GWO,5.8
F15,30,GA,6.966666666666667
F16,30,PSO,1.5333333333333334
F16,30,DE,2.033333333333333
F16,30,CREO-Repair,3.4
F16,30,CREO-RG,3.7
F16,30,GA,5.066666666666666
F16,30,CREO-DE,5.466666666666667
F16,30,GWO,6.8
F17,30,DE,1.0333333333333334
F17,30,GA,2.933333333333333
F17,30,PSO,3.066666666666667
F17,30,CREO-DE,3.933333333333333
F17,30,CREO-Repair,5.433333333333334
F17,30,GWO,5.633333333333334
F17,30,CREO-RG,5.966666666666667
F18,30,DE,1.1
F18,30,PSO,2.6333333333333333
F18,30,CREO-Repair,3.1333333333333333
F18,30,CREO-RG,3.1333333333333333
F18,30,CREO-DE,5.133333333333334
F18,30,GA,6.366666666666666
F18,30,GWO,6.5
F19,30,DE,1.0
F19,30,PSO,2.033333333333333
F19,30,CREO-Repair,3.3
F19,30,CREO-RG,3.6666666666666665
F19,30,GWO,5.366666666666666
F19,30,CREO-DE,5.9
F19,30,GA,6.733333333333333
F20,30,DE,1.0333333333333334
F20,30,PSO,3.066666666666667
F20,30,GA,3.8666666666666667
F20,30,CREO-DE,4.033333333333333
F20,30,GWO,4.6
F20,30,CREO-RG,5.566666666666666
F20,30,CREO-Repair,5.833333333333333
F21,30,PSO,1.5
F21,30,DE,2.0
F21,30,CREO-Repair,3.566666666666667
F21,30,GA,4.533333333333333
F21,30,CREO-RG,4.666666666666667
F21,30,CREO-DE,5.466666666666667
F21,30,GWO,6.266666666666667
F22,30,DE,1.5666666666666667
F22,30,PSO,2.4
F22,30,CREO-DE,2.7666666666666666
F22,30,GA,3.8333333333333335
F22,30,GWO,4.966666666666667
F22,30,CREO-RG,6.166666666666667
F22,30,CREO-Repair,6.3
F23,30,DE,1.0
F23,30,PSO,2.6
F23,30,GA,3.066666666666667
F23,30,CREO-DE,3.3333333333333335
F23,30,GWO,5.133333333333334
F23,30,CREO-Repair,6.4
F23,30,CREO-RG,6.466666666666667
F24,30,DE,1.0
F24,30,PSO,2.2666666666666666
F24,30,GA,3.066666666666667
F24,30,CREO-DE,3.6666666666666665
F24,30,GWO,5.866666666666666
F24,30,CREO-Repair,6.066666666666666
F24,30,CREO-RG,6.066666666666666
F25,30,DE,1.3333333333333333
F25,30,PSO,1.8333333333333333
F25,30,CREO-Repair,3.1
F25,30,CREO-RG,3.7333333333333334
F25,30,CREO-DE,5.1
F25,30,GA,5.933333333333334
F25,30,GWO,6.966666666666667
F26,30,DE,1.5333333333333334
F26,30,PSO,2.6333333333333333
F26,30,GA,3.3666666666666667
F26,30,CREO-DE,4.033333333333333
F26,30,GWO,4.4
F26,30,CREO-Repair,5.866666666666666
F26,30,CREO-RG,6.166666666666667
F27,30,DE,1.0
F27,30,CREO-DE,2.5
F27,30,PSO,2.7666666666666666
F27,30,GA,3.7333333333333334
F27,30,GWO,5.2
F27,30,CREO-Repair,6.266666666666667
F27,30,CREO-RG,6.533333333333333
F28,30,PSO,1.0666666666666667
F28,30,DE,2.0
F28,30,CREO-Repair,3.033333333333333
F28,30,CREO-RG,3.9
F28,30,GA,5.466666666666667
F28,30,CREO-DE,5.533333333333333
F28,30,GWO,7.0
F29,30,DE,1.0666666666666667
F29,30,PSO,2.1
F29,30,GA,3.466666666666667
F29,30,CREO-DE,3.9
F29,30,CREO-RG,5.5
F29,30,CREO-Repair,5.533333333333333
F29,30,GWO,6.433333333333334
F30,30,DE,1.1
F30,30,PSO,1.9
F30,30,CREO-Repair,3.3666666666666667
F30,30,CREO-RG,3.6333333333333333
F30,30,GA,5.2
F30,30,CREO-DE,5.933333333333334
F30,30,GWO,6.866666666666666
