Function,Dimension,Comparison,Statistic,p-value,Significant(p<0.05),CREO-DE Mean,GA Mean,PSO Mean,DE Mean,GWO Mean,CREO-Repair Mean,CREO-RG Mean
F1,30,CREO-DE vs GA,0.0,1.862645149230957e-09,1,1223506372.155757,2768597269.4969497,,,,,
F1,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,1223506372.155757,,2654.622054600979,,,,
F1,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1223506372.155757,,,100.00000314274845,,,
F1,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,1223506372.155757,,,,13219681941.79293,,
F1,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,1223506372.155757,,,,,51696.58998077039,
F1,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,1223506372.155757,,,,,,45024.58480329012
F3,30,CREO-DE vs GA,0.0,1.862645149230957e-09,1,50134.46617517084,22416.048207975648,,,,,
F3,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,50134.46617517084,,300.0000000000012,,,,
F3,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,50134.46617517084,,,1072.0756979062396,,,
F3,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,50134.46617517084,,,,76083.03451882163,,
F3,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,50134.46617517084,,,,,2657.188887556841,
F3,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,50134.46617517084,,,,,,9892.857465870451
F4,30,CREO-DE vs GA,106.0,0.008142979815602303,1,1149.8731872489095,1031.6347733073565,,,,,
F4,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,1149.8731872489095,,454.3276282788557,,,,
F4,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1149.8731872489095,,,415.16907591001825,,,
F4,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,1149.8731872489095,,,,2652.2043408217673,,
F4,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,1149.8731872489095,,,,,540.7001830861642,
F4,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,1149.8731872489095,,,,,,609.4598430584712
F5,30,CREO-DE vs GA,109.0,0.00993151031434536,1,745.1913556434555,732.8974635577011,,,,,
F5,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,745.1913556434555,,644.1854726520008,,,,
F5,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,745.1913556434555,,,654.6233066881994,,,
F5,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,745.1913556434555,,,,791.1712739195062,,
F5,30,CREO-DE vs CREO-Repair,10.0,8.009374141693115e-08,1,745.1913556434555,,,,,695.0388157304532,
F5,30,CREO-DE vs CREO-RG,46.0,3.453157842159271e-05,1,745.1913556434555,,,,,,712.974708388347
F6,30,CREO-DE vs GA,179.0,0.28008678182959557,0,631.7527515880779,632.7809518191592,,,,,
F6,30,CREO-DE vs PSO,199.0,0.5027610473334789,0,631.7527515880779,,630.0183741012173,,,,
F6,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,631.7527515880779,,,600.0002010655468,,,
F6,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,631.7527515880779,,,,656.7453460363984,,
F6,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,631.7527515880779,,,,,656.2021894155263,
F6,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,631.7527515880779,,,,,,655.7373734079301
F7,30,CREO-DE vs GA,1.0,3.725290298461914e-09,1,1004.3313030586808,1053.8358207290985,,,,,
F7,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,1004.3313030586808,,831.4043454482414,,,,
F7,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1004.3313030586808,,,912.1748321456671,,,
F7,30,CREO-DE vs GWO,65.0,0.000283263623714447,1,1004.3313030586808,,,,1023.449673827026,,
F7,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,1004.3313030586808,,,,,1181.7616704249274,
F7,30,CREO-DE vs CREO-RG,7.0,3.5390257835388184e-08,1,1004.3313030586808,,,,,,1108.4420213253952
F8,30,CREO-DE vs GA,37.0,1.0609626770019531e-05,1,1039.3431841577062,1020.4677071217397,,,,,
F8,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,1039.3431841577062,,934.0533926395934,,,,
F8,30,CREO-DE vs DE,1.0,3.725290298461914e-09,1,1039.3431841577062,,,953.3221418480204,,,
F8,30,CREO-DE vs GWO,45.0,3.049522638320923e-05,1,1039.3431841577062,,,,1022.7486817436221,,
F8,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,1039.3431841577062,,,,,956.3644789725489,
F8,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,1039.3431841577062,,,,,,947.5708293596525
F9,30,CREO-DE vs GA,85.0,0.001718590036034584,1,2089.949239190476,2388.1297258810987,,,,,
F9,30,CREO-DE vs PSO,68.0,0.0003800932317972183,1,2089.949239190476,,2978.406006429645,,,,
F9,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2089.949239190476,,,900.1090745201996,,,
F9,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2089.949239190476,,,,4011.7334699792145,,
F9,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,2089.949239190476,,,,,4792.9531062332635,
F9,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,2089.949239190476,,,,,,4596.933628331809
F10,30,CREO-DE vs GA,153.0,0.10483990423381329,0,7861.127075450113,8012.226964780931,,,,,
F10,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,7861.127075450113,,4596.730843804745,,,,
F10,30,CREO-DE vs DE,167.0,0.18396909348666668,0,7861.127075450113,,,7928.520678166154,,,
F10,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,7861.127075450113,,,,6185.936423255906,,
F10,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,7861.127075450113,,,,,5537.688972880668,
F10,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,7861.127075450113,,,,,,5615.084465028192
F11,30,CREO-DE vs GA,54.0,8.856505155563354e-05,1,2032.378988107054,1853.2216884592453,,,,,
F11,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,2032.378988107054,,1226.2032197442352,,,,
F11,30,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2032.378988107054,,,1138.5246453390205,,,
F11,30,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2032.378988107054,,,,4685.937398438125,,
F11,30,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,2032.378988107054,,,,,1226.7109129287965,
F11,30,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,2032.378988107054,,,,,,1240.9625886248143
F12,30,CREO-DE vs GA,14.0,2.0489096641540527e-07,1,611595893.3677691,359272031.98507977,,,,,
F12,30,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,611595893.3677691,,17014.19869972224,,,,
